monster::balrog::megademon4	Balrog	巴羅格	megademon	"[""hell_immune_fire"", ""megademon""]"	blizzhackers/d2data	True	"{""base_id"": ""megademon1"", ""source_file"": ""monstats.json""}"
monster::barbarian::act5hire1	Barbarian	野蠻人	human	"[""hell_immune_drain_effectiveness"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act5hire1"", ""source_file"": ""monstats.json""}"
monster::barbarian::act5hire2	Barbarian	野蠻人	human	"[""hell_immune_drain_effectiveness"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act5hire1"", ""source_file"": ""monstats.json""}"
monster::barbarian-captive::act5pow	Barbarian Captive	野蠻人俘虜	human	"[""hell_immune_drain_effectiveness"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act5pow"", ""source_file"": ""monstats.json""}"
monster::barricade::barricadewall1	Barricade	防禦工事	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""barricadewall1"", ""source_file"": ""monstats.json""}"
monster::barricade::barricadewall2	Barricade	防禦工事	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""barricadewall1"", ""source_file"": ""monstats.json""}"
monster::barricaded-door::barricadedoor1	Barricaded Door	封死之門	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""barricadedoor1"", ""source_file"": ""monstats.json""}"
monster::barricaded-door::barricadedoor2	Barricaded Door	封死之門	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""barricadedoor1"", ""source_file"": ""monstats.json""}"
monster::barricaded-tower::barricadetower	Barricaded Tower	封閉之塔	construct	"[""construct"", ""hell_immune_fire"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""barricadetower"", ""source_file"": ""monstats.json""}"
monster::bear::bear	Bear	熊	\N	"[""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""bear"", ""source_file"": ""monstats.json""}"
monster::berserker-slayer::suicideminion2	Berserker Slayer	狂戰士殺手	minion	"[""hell_immune_fire"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::berserker-slayer::suicideminion9	Berserker Slayer	狂戰士殺手	minion	"[""hell_immune_cold"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::black-archer::cr_archer4	Black Archer	黑色弓箭手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_archer1"", ""source_file"": ""monstats.json""}"
monster::black-lancer::cr_lancer4	Black Lancer	黑色長槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::black-lancer::cr_lancer8	Black Lancer	黑色長槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::black-lancer::cr_lancer9	Black Lancer	黑色長槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::black-locusts::swarm2	Black Locusts	黑色蝗蟲	swarm	"[""hell_immune_physical"", ""swarm""]"	blizzhackers/d2data	True	"{""base_id"": ""swarm1"", ""source_file"": ""monstats.json""}"
monster::black-raptor::foulcrow3	Black Raptor	黑色開膛手	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::black-raptor::foulcrow7	Black Raptor	黑色開膛手	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::black-raptor-nest::crownest3	Black Raptor Nest	黑色開膛手之巢	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""crownest1"", ""source_file"": ""monstats.json""}"
monster::black-rogue::corruptrogue4	Black Rogue	黑色蘿格	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""corruptrogue1"", ""source_file"": ""monstats.json""}"
monster::black-soul::willowisp4	Black Soul	黑色靈魂	willowisp	"[""hell_immune_lightning"", ""willowisp""]"	blizzhackers/d2data	True	"{""base_id"": ""willowisp1"", ""source_file"": ""monstats.json""}"
monster::black-soul::willowisp6	Black Soul	黑色靈魂	willowisp	"[""hell_immune_lightning"", ""hell_immune_poison"", ""willowisp""]"	blizzhackers/d2data	True	"{""base_id"": ""willowisp1"", ""source_file"": ""monstats.json""}"
monster::blood-boss::overseer4	Blood Boss	血腥統治者	overseer	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""overseer""]"	blizzhackers/d2data	True	"{""base_id"": ""overseer1"", ""source_file"": ""monstats.json""}"
monster::blood-bringer::siegebeast3	Blood Bringer	濺血妖	siegebeast	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""siegebeast""]"	blizzhackers/d2data	True	"{""base_id"": ""siegebeast1"", ""source_file"": ""monstats.json""}"
monster::blood-clan::goatman3	Blood Clan	血腥一族	goatman	"[""goatman"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""goatman1"", ""source_file"": ""monstats.json""}"
monster::blood-clan::goatman9	Blood Clan	血腥一族	goatman	"[""goatman"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""goatman1"", ""source_file"": ""monstats.json""}"
monster::blood-diver::batdemon4	Blood Diver	鮮血潛鳥	batdemon	"[""batdemon"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""batdemon1"", ""source_file"": ""monstats.json""}"
monster::blood-golem::bloodgolem	Blood Golem	血石魔	golem	"[""golem"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""bloodgolem"", ""source_file"": ""monstats.json""}"
monster::blood-hawk::foulcrow2	Blood Hawk	血鷹	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::blood-hawk::foulcrow6	Blood Hawk	血鷹	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::blood-hawk-nest::crownest2	Blood Hawk Nest	血鷹之巢	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""crownest1"", ""source_file"": ""monstats.json""}"
monster::blood-hook::mosquito3	Blood Hook	血鉤	mosquito	"[""hell_immune_poison"", ""mosquito""]"	blizzhackers/d2data	True	"{""base_id"": ""mosquito1"", ""source_file"": ""monstats.json""}"
monster::blood-lord::bloodlord3	Blood Lord	血之王	bloodlord	"[""bloodlord"", ""hell_immune_physical""]"	blizzhackers/d2data	True	"{""base_id"": ""bloodlord1"", ""source_file"": ""monstats.json""}"
monster::blood-lord::vampire4	Blood Lord	鮮血之王	vampire	"[""hell_immune_cold"", ""vampire""]"	blizzhackers/d2data	True	"{""base_id"": ""vampire1"", ""source_file"": ""monstats.json""}"
monster::blood-lord::vampire6	Blood Lord	鮮血之王	vampire	"[""hell_immune_cold"", ""vampire""]"	blizzhackers/d2data	True	"{""base_id"": ""vampire1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot::sandmaggot5	Blood Maggot	鮮血蛆蟲	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""sandmaggot1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot::sandmaggot6	Blood Maggot	鮮血蛆蟲	sandmaggot	"[""hell_immune_lightning"", ""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""sandmaggot1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot::sandmaggot7	Blood Maggot	鮮血蛆蟲	sandmaggot	"[""hell_immune_lightning"", ""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""sandmaggot1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot-egg::maggotegg5	Blood Maggot Egg	血蛆之蛋	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""maggotegg1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot-egg::maggotegg6	Blood Maggot Egg	血蛆之蛋	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""maggotegg1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot-queen::maggotqueen5	Blood Maggot Queen	血蛆皇后	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""maggotqueen1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot-young::maggotbaby5	Blood Maggot Young	血蛆幼生	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""maggotbaby1"", ""source_file"": ""monstats.json""}"
monster::blood-maggot-young::maggotbaby6	Blood Maggot Young	血蛆幼生	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""maggotbaby1"", ""source_file"": ""monstats.json""}"
monster::blood-raven::bloodraven	Blood Raven	血鳥	corruptrogue	"[""corruptrogue""]"	blizzhackers/d2data	True	"{""base_id"": ""bloodraven"", ""source_file"": ""monstats.json""}"
monster::blood-temptress::succubus5	Blood Temptress	血腥妖婦	succubus	"[""hell_immune_poison"", ""succubus""]"	blizzhackers/d2data	True	"{""base_id"": ""succubus1"", ""source_file"": ""monstats.json""}"
monster::blood-wing::mosquito4	Blood Wing	血翼	mosquito	"[""hell_immune_poison"", ""mosquito""]"	blizzhackers/d2data	True	"{""base_id"": ""mosquito1"", ""source_file"": ""monstats.json""}"
monster::blood-witch::succubuswitch4	Blood Witch	血女巫	succubus	"[""hell_immune_fire"", ""succubus""]"	blizzhackers/d2data	True	"{""base_id"": ""succubuswitch1"", ""source_file"": ""monstats.json""}"
monster::blunderbore::blunderbore1	Blunderbore	大笨獸	blunderbore	"[""blunderbore"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""blunderbore1"", ""source_file"": ""monstats.json""}"
monster::blunderbore::blunderbore5	Blunderbore	大笨獸	blunderbore	"[""blunderbore"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""blunderbore1"", ""source_file"": ""monstats.json""}"
monster::bog-creature::frogdemon2	Bog Creature	泥沼生物	frogdemon	"[""frogdemon"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""frogdemon1"", ""source_file"": ""monstats.json""}"
monster::bone-archer::sk_archer3	Bone Archer	白骨弓箭手	skeleton	"[""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""sk_archer1"", ""source_file"": ""monstats.json""}"
monster::bone-archer::sk_archer7	Bone Archer	白骨弓箭手	skeleton	"[""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""sk_archer1"", ""source_file"": ""monstats.json""}"
monster::bone-mage::skmage_cold2	Bone Mage	白骨法師	skeleton	"[""hell_immune_cold"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_cold1"", ""source_file"": ""monstats.json""}"
monster::bone-mage::skmage_cold5	Bone Mage	白骨法師	skeleton	"[""hell_immune_cold"", ""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_cold1"", ""source_file"": ""monstats.json""}"
monster::bone-mage::skmage_cold6	Bone Mage	白骨法師	skeleton	"[""hell_immune_cold"", ""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_cold1"", ""source_file"": ""monstats.json""}"
monster::bone-mage::skmage_fire2	Bone Mage	白骨法師	skeleton	"[""hell_immune_fire"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_fire1"", ""source_file"": ""monstats.json""}"
monster::bone-mage::skmage_ltng2	Bone Mage	白骨法師	skeleton	"[""hell_immune_lightning"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_ltng1"", ""source_file"": ""monstats.json""}"
monster::bone-mage::skmage_pois2	Bone Mage	白骨法師	skeleton	"[""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_pois1"", ""source_file"": ""monstats.json""}"
monster::bone-prison::boneprison1	Bone Prison	骨牢	construct	"[""construct"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""boneprison1"", ""source_file"": ""monstats.json""}"
monster::bone-prison::boneprison2	Bone Prison	骨牢	construct	"[""construct"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""boneprison2"", ""source_file"": ""monstats.json""}"
monster::bone-prison::boneprison3	Bone Prison	骨牢	construct	"[""construct"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""boneprison3"", ""source_file"": ""monstats.json""}"
monster::bone-prison::boneprison4	Bone Prison	骨牢	construct	"[""construct"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""boneprison4"", ""source_file"": ""monstats.json""}"
monster::bone-scarab::scarab5	Bone Scarab	白骨聖甲蟲	scarab	"[""hell_immune_lightning"", ""scarab""]"	blizzhackers/d2data	True	"{""base_id"": ""scarab1"", ""source_file"": ""monstats.json""}"
monster::bone-warrior::skeleton3	Bone Warrior	白骨戰士	skeleton	"[""hell_immune_cold"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skeleton1"", ""source_file"": ""monstats.json""}"
monster::bone-warrior::skeleton6	Bone Warrior	白骨戰士	skeleton	"[""hell_immune_lightning"", ""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skeleton1"", ""source_file"": ""monstats.json""}"
monster::bramble-hulk::thornhulk2	Bramble Hulk	灌木魔	thornhulk	"[""hell_immune_cold"", ""thornhulk""]"	blizzhackers/d2data	True	"{""base_id"": ""thornhulk1"", ""source_file"": ""monstats.json""}"
monster::brute::brute2	Brute	禽獸	brute	"[""brute"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""brute2"", ""source_file"": ""monstats.json""}"
monster::burning-dead::skeleton4	Burning Dead	燃燒死屍	skeleton	"[""hell_immune_fire"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skeleton1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-archer::sk_archer4	Burning Dead Archer	燃燒的死亡弓箭手	skeleton	"[""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""sk_archer1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-archer::sk_archer6	Burning Dead Archer	燃燒的死亡弓箭手	skeleton	"[""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""sk_archer1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-archer::sk_archer8	Burning Dead Archer	燃燒的死亡弓箭手	skeleton	"[""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""sk_archer1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-mage::skmage_fire3	Burning Dead Mage	燃燒的死法師	skeleton	"[""hell_immune_fire"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_fire1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-mage::skmage_fire6	Burning Dead Mage	燃燒的死法師	skeleton	"[""hell_immune_fire"", ""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_fire1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-mage::skmage_fire7	Burning Dead Mage	燃燒的死法師	skeleton	"[""hell_immune_fire"", ""hell_immune_poison"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_fire1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-mage::skmage_ltng3	Burning Dead Mage	燃燒的死法師	skeleton	"[""hell_immune_lightning"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_ltng1"", ""source_file"": ""monstats.json""}"
monster::burning-dead-mage::skmage_pois3	Burning Dead Mage	燃燒的死法師	skeleton	"[""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_pois1"", ""source_file"": ""monstats.json""}"
monster::burning-soul::willowisp3	Burning Soul	燃燒的靈魂	willowisp	"[""hell_immune_lightning"", ""willowisp""]"	blizzhackers/d2data	True	"{""base_id"": ""willowisp1"", ""source_file"": ""monstats.json""}"
monster::burning-soul::willowisp7	Burning Soul	燃燒的靈魂	willowisp	"[""hell_immune_lightning"", ""hell_immune_poison"", ""willowisp""]"	blizzhackers/d2data	True	"{""base_id"": ""willowisp1"", ""source_file"": ""monstats.json""}"
monster::burning-soul::willowisp8	Burning Soul	燃燒的靈魂	willowisp	"[""hell_immune_lightning"", ""hell_immune_poison"", ""willowisp""]"	blizzhackers/d2data	True	"{""base_id"": ""willowisp1"", ""source_file"": ""monstats.json""}"
monster::bush-barb::quillrat5	Bush Barb	灌木倒刺怪	quillrat	"[""hell_immune_drain_effectiveness"", ""quillrat""]"	blizzhackers/d2data	True	"{""base_id"": ""quillrat1"", ""source_file"": ""monstats.json""}"
monster::cadaver::mummy5	Cadaver	解剖死屍怪	mummy	"[""hell_immune_poison"", ""mummy""]"	blizzhackers/d2data	True	"{""base_id"": ""mummy1"", ""source_file"": ""monstats.json""}"
monster::cadaver::mummy6	Cadaver	解剖死屍怪	mummy	"[""hell_immune_poison"", ""mummy""]"	blizzhackers/d2data	True	"{""base_id"": ""mummy1"", ""source_file"": ""monstats.json""}"
monster::cantor::cantor2	Cantor	領唱者	zakarum	"[""hell_immune_drain_effectiveness"", ""hell_immune_lightning"", ""zakarum""]"	blizzhackers/d2data	True	"{""base_id"": ""cantor1"", ""source_file"": ""monstats.json""}"
monster::carrion-bird::vulture1	Carrion Bird	腐食鳥	vulture	"[""hell_immune_drain_effectiveness"", ""hell_immune_poison"", ""vulture""]"	blizzhackers/d2data	True	"{""base_id"": ""vulture1"", ""source_file"": ""monstats.json""}"
monster::carrion-bird::vulture5	Carrion Bird	腐食鳥	vulture	"[""hell_immune_drain_effectiveness"", ""hell_immune_poison"", ""vulture""]"	blizzhackers/d2data	True	"{""base_id"": ""vulture1"", ""source_file"": ""monstats.json""}"
monster::carver::fallen2	Carver	利刃魔	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::carver::fallen6	Carver	利刃魔	fallen	"[""fallen"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::carver-shaman::fallenshaman2	Carver Shaman	利刃巫師	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::carver-shaman::fallenshaman6	Carver Shaman	利刃巫師	fallen	"[""fallen""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::catapult::catapult1	Catapult	投石器	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""catapult1"", ""source_file"": ""monstats.json""}"
monster::catapult::catapult2	Catapult	投石器	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""catapult1"", ""source_file"": ""monstats.json""}"
monster::catapult::catapult3	Catapult	投石器	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""catapult1"", ""source_file"": ""monstats.json""}"
monster::catapult::catapult4	Catapult	投石器	\N	"[""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""catapult1"", ""source_file"": ""monstats.json""}"
monster::cave-leaper::sandleaper2	Cave Leaper	洞穴跳躍者	sandleaper	"[""hell_immune_cold"", ""sandleaper""]"	blizzhackers/d2data	True	"{""base_id"": ""sandleaper1"", ""source_file"": ""monstats.json""}"
monster::cave-leaper::sandleaper6	Cave Leaper	洞穴跳躍者	sandleaper	"[""hell_immune_cold"", ""sandleaper""]"	blizzhackers/d2data	True	"{""base_id"": ""sandleaper1"", ""source_file"": ""monstats.json""}"
monster::chilled-froth::snowyeti3	Chilled Froth	寒冰霜	snowyeti	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""snowyeti""]"	blizzhackers/d2data	True	"{""base_id"": ""snowyeti1"", ""source_file"": ""monstats.json""}"
monster::claw-viper::clawviper2	Claw Viper	利爪腹蛇	clawviper	"[""clawviper"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""clawviper1"", ""source_file"": ""monstats.json""}"
monster::claw-viper::clawviper6	Claw Viper	利爪腹蛇	clawviper	"[""clawviper""]"	blizzhackers/d2data	True	"{""base_id"": ""clawviper1"", ""source_file"": ""monstats.json""}"
monster::clay-golem::claygolem	Clay Golem	黏土石魔	golem	"[""golem""]"	blizzhackers/d2data	True	"{""base_id"": ""claygolem"", ""source_file"": ""monstats.json""}"
monster::cliff-lurker::sandleaper5	Cliff Lurker	峭壁潛伏者	sandleaper	"[""hell_immune_lightning"", ""sandleaper""]"	blizzhackers/d2data	True	"{""base_id"": ""sandleaper1"", ""source_file"": ""monstats.json""}"
monster::cloud-stalker::foulcrow4	Cloud Stalker	煙霧偷襲者	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::cloud-stalker::foulcrow8	Cloud Stalker	煙霧偷襲者	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::cloud-stalker-nest::crownest4	Cloud Stalker Nest	煙霧偷襲者之巢	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""crownest1"", ""source_file"": ""monstats.json""}"
monster::combatant::act5barb1	Combatant	戰鬥士	human	"[""hell_immune_drain_effectiveness"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act5barb1"", ""source_file"": ""monstats.json""}"
monster::combatant::act5barb2	Combatant	戰鬥士	human	"[""hell_immune_drain_effectiveness"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act5barb2"", ""source_file"": ""monstats.json""}"
monster::compelling-orb::compellingorb	Compelling Orb	強制球體	construct	"[""construct"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""compellingorb"", ""source_file"": ""monstats.json""}"
monster::consumed-fire-boar::suicideminion4	Consumed Fire Boar	極火野豬	minion	"[""hell_immune_fire"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::consumed-ice-boar::suicideminion3	Consumed Ice Boar	極冰野豬	minion	"[""hell_immune_cold"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::corpse-spitter::regurgitator2	Corpse Spitter	噴吐屍體怪	regurgitator	"[""hell_immune_poison"", ""regurgitator""]"	blizzhackers/d2data	True	"{""base_id"": ""regurgitator1"", ""source_file"": ""monstats.json""}"
monster::corpulent::regurgitator1	Corpulent	癡肥怪	regurgitator	"[""hell_immune_poison"", ""regurgitator""]"	blizzhackers/d2data	True	"{""base_id"": ""regurgitator1"", ""source_file"": ""monstats.json""}"
